syndrome_dec,syndrome_hex,syndrome_bin,flip_mask_bin,weight,indices
49415,0xC107,1100000100000111,000000000000000000000000000011110000000000000000,4,16;17;18;19
49673,0xC209,1100001000001001,000000000000000000000000000111000000000000000000,3,18;19;20
49972,0xC334,1100001100110100,000000000000000000000000000110000000000000000000,2,19;20
50094,0xC3AE,1100001110101110,000000000000000000000000000000000000000000000011,2,0;1
50095,0xC3AF,1100001110101111,000000000000000000000000000000101100000000000000,3,14;15;17
50486,0xC536,1100010100110110,000000000000000000000000000000000000000000000010,1,1
50764,0xC64C,1100011001001100,000000000000000000000000000000000101000000000000,2,12;14
50974,0xC71E,1100011100011110,000000000000000000011000000000000000000000000000,2,27;28
51110,0xC7A6,1100011110100110,000000000000000000000000000000001111000000000000,4,12;13;14;15
51159,0xC7D7,1100011111010111,000000000000000000000100100000000000000000000000,2,23;26
51915,0xCACB,1100101011001011,000000000000000000000000000000000000000000000100,1,2
52307,0xCC53,1100110001010011,000000000000000000000000000000000000000000000101,2,0;2
52378,0xCC9A,1100110010011010,000000000000000000000000000000000000000000101000,2,3;5
52581,0xCD65,1100110101100101,000000000000000000000000000000000000010000000000,1,10
52604,0xCD7C,1100110101111100,000000000000000000010000000000000000000000000000,1,28
52707,0xCDE3,1100110111100011,000000000000000000000000110100000000000000000000,3,20;22;23
53248,0xD000,1101000000000000,110100000000000000000000000000000000000000000000,3,44;46;47
53413,0xD0A5,1101000010100101,000000000000000000000000000000000111000000000000,3,12;13;14
53583,0xD14F,1101000101001111,000000000000000000000000000000001101000000000000,3,12;14;15
54026,0xD30A,1101001100001010,000000000000000010100000000000000000000000000000,2,29;31
54027,0xD30B,1101001100001011,000000000000000110100000000000000000000000000000,3,29;31;32
54436,0xD4A4,1101010010100100,000000000000000000000000000000000000101000000000,2,9;11
54444,0xD4AC,1101010010101100,000000000000000000000000000000100100000000000000,2,14;17
54930,0xD692,1101011010010010,000000000000000000000000000000000000011010000000,3,7;9;10
55778,0xD9E2,1101100111100010,000000000000000000000000010000000000000000000000,1,22
56057,0xDAF9,1101101011111001,000000000000000000000001100000000000000000000000,2,23;24
56204,0xDB8C,1101101110001100,000000000000000000000000000000000010010000000000,2,10;13
56516,0xDCC4,1101110011000100,000000000000000000000000000000000000000001101000,3,3;5;6
57344,0xE000,1110000000000000,111000000000000000000000000000000000000000000000,3,45;46;47
58263,0xE397,1110001110010111,000000000000000000000000010100000000000000000000,2,20;22
58286,0xE3AE,1110001110101110,000000000000000000000000000000000000000001100000,2,5;6
58305,0xE3C1,1110001111000001,000000000000000000001100000000000000000000000000,2,26;27
58694,0xE546,1110010101000110,000000000000000000000000000000000000000111000000,3,6;7;8
58726,0xE566,1110010101100110,000000000000000000000000000000000011110000000000,4,10;11;12;13
59305,0xE7A9,1110011110101001,000000000000000000000000000000000000000011110000,4,4;5;6;7
59811,0xE9A3,1110100110100011,000000000000000000000100000000000000000000000000,1,26
59982,0xEA4E,1110101001001110,000000000000000000000000000000000001001000000000,2,9;12
60084,0xEAB4,1110101010110100,000000000000001011000000000000000000000000000000,3,30;31;33
60085,0xEAB5,1110101010110101,000000000000001111000000000000000000000000000000,4,30;31;32;33
60086,0xEAB6,1110101010110110,000000000000000011000000000000000000000000000000,2,30;31
60087,0xEAB7,1110101010110111,000000000000000111000000000000000000000000000000,3,30;31;32
60477,0xEC3D,1110110000111101,000000000000000000000000000000011110000000000000,4,13;14;15;16
60887,0xEDD7,1110110111010111,000000000000000000000000000000010100000000000000,2,14;16
61007,0xEE4F,1110111001001111,000000000000000000000000000000000110100000000000,3,11;13;14
61167,0xEEEF,1110111011101111,000000000000000000000000000000000000001100000000,2,8;9
